2513.0625	-2045.25830078125	-1801.070556640625
-649.6792602539062	-3329.713134765625	-1311.4256591796875
-1143.471435546875	-2282.2265625	-818.85546875
-632.5161743164062	-3095.247802734375	-1937.2752685546875
-274.25396728515625	-2907.82763671875	-1630.636962890625
297.0830993652344	-3782.49658203125	-2120.345458984375
-663.6344604492188	-3086.03173828125	-1052.0609130859375
-602.0178833007812	-2025.8994140625	-2411.216064453125
-675.27294921875	-2389.823974609375	-1874.054931640625
-1031.2818603515625	-3185.47119140625	-2310.8408203125
-506.3084411621094	-2753.969970703125	-736.125732421875
